,group,names,scores,logfoldchanges,pvals,pvals_adj
4341,COVID,PPP2CA,1.8204496,0.47113004,0.06989034028410548,0.5634772606083022
4342,COVID,C10orf95,1.820215,2.0464768,0.07056893590691023,0.567083544986632
4343,COVID,PJA1,1.8201545,1.5584714,0.0704215544626358,0.5661922148925486
4344,COVID,DBN1,1.8199103,2.2539237,0.07065245943454576,0.5675589188306397
4345,COVID,ARL8B,1.8196355,0.612893,0.07018151257693558,0.5648471979758063
4346,COVID,AC092140.1,1.8192592,2.3377383,0.07096510812750104,0.568893236450096
4347,COVID,CNN2,1.818937,0.4473966,0.07001522344493089,0.5637161723211999
4348,COVID,ADAM9,1.8186371,0.8095615,0.07031785722708767,0.5656513660968143
4349,COVID,AC008494.3,1.8179517,3.6787512,0.07124611573935641,0.5702627243302713
4350,COVID,AC005332.1,1.8179343,1.8548273,0.07099176167747037,0.5690089858883827
4351,COVID,LIN54,1.8175806,1.5565753,0.07080558990466232,0.568186558695003
4352,COVID,SLC9C2,1.8174051,1.6711063,0.07088828878929244,0.5684447454669826
4353,COVID,SCARB1,1.8168782,0.67429334,0.07067677175772343,0.5676001075420489
4354,COVID,HECA,1.8163133,0.7953914,0.07078688959621218,0.568186558695003
4355,COVID,PLA2G15,1.8161358,1.063442,0.07082816731800366,0.568186558695003
4356,COVID,DCAF4,1.8160564,1.5319575,0.07120582552863088,0.5701731453325924
4357,COVID,CD58,1.8158336,1.2230488,0.0710517922309827,0.5693921708735761
4358,COVID,COPS6,1.8155572,0.4228491,0.07052685600309477,0.5669409939686224
4359,COVID,VEGFA,1.8155481,3.9386926,0.07165180539605548,0.5728209546198471
4360,COVID,NAP1L5,1.814471,1.8014514,0.0715421094556232,0.5722386035166125
4361,COVID,PEX13,1.8144348,1.0103289,0.07128238159806229,0.5704549844295024
4362,COVID,NBAS,1.8141861,0.8331692,0.07120863043488211,0.5701731453325924
4363,COVID,INTS6-AS1,1.8139852,1.0664538,0.07124585732465463,0.5702627243302713
4364,COVID,CARD6,1.8132488,1.2808723,0.07145831345236807,0.5716665076189446
4365,COVID,CHURC1,1.8131617,0.39823195,0.07089695971069829,0.5684447454669826
4366,COVID,RBL2,1.8126504,0.49401897,0.07113450491872146,0.5698632084836437
4367,COVID,AP004609.3,1.8121892,1.8136272,0.07194083961894947,0.5745400433411868
4368,COVID,AP001318.2,1.8121489,1.6144148,0.07185531019400788,0.574053810680443
4369,COVID,LANCL2,1.8117106,1.2033751,0.07143823533516734,0.5716040458353547
4370,COVID,LSM4,1.8113148,0.345977,0.07113503686528395,0.5698632084836437
4371,COVID,ITGB7,1.8112599,0.67030996,0.07155869190637866,0.5722729791874237
4372,COVID,MYO15B,1.8108213,0.828846,0.07172165148103656,0.5732809561758077
4373,COVID,AL445686.2,1.8104932,3.7097023,0.07240607202644826,0.5776613220209053
4374,COVID,DUSP14,1.8104802,1.432942,0.07181814203143567,0.5738552878889193
4375,COVID,USP51,1.810088,2.209228,0.07225183865866291,0.5767271508010886
4376,COVID,NDUFV2-AS1,1.8090558,1.2304752,0.07204367065447767,0.5752626591992095
4377,COVID,MRPL16,1.8082075,0.45951763,0.07173904135982187,0.5733215822106609
4378,COVID,AC008731.1,1.807984,3.797499,0.07281096350445453,0.58029528210291
4379,COVID,AC087164.1,1.8079169,2.0974593,0.07263335638951599,0.5791770410902453
4380,COVID,AC091729.3,1.8077171,2.5649698,0.07273645164634131,0.5798998568360711
4381,COVID,AL162377.1,1.8064933,1.7020191,0.07277717397058314,0.5801252348127387
4382,COVID,AL928654.1,1.806392,2.496568,0.07292040239919118,0.5805715305698037
4383,COVID,MYO5C,1.8059224,2.536336,0.07300461384291568,0.5810433848040978
4384,COVID,SELENOI,1.804699,1.2127103,0.0728749619866686,0.5805073921318348
4385,COVID,RGS5.1,1.8046784,3.4926062,0.07327860224378599,0.5825627453313147
4386,COVID,AC004556.1,1.8045868,1.2533339,0.07239360366222451,0.5776607798905561
4387,COVID,VRK1,1.8044417,0.61935514,0.07254213500194337,0.578548676070969
4388,COVID,SAP130,1.8038244,1.1190046,0.07283984262693713,0.5803553134746515
4389,COVID,FEZ2,1.8028255,0.3588787,0.07252681156823834,0.5785255120025369
4390,COVID,TMEM33,1.802029,0.5999605,0.07291897179286011,0.5805715305698037
4391,COVID,NPIPB15,1.8019885,3.4816675,0.07370115661629523,0.5852871939675242
4392,COVID,KLHL23,1.8019865,1.9503664,0.07353109972742769,0.584434866013051
4393,COVID,CARD8,1.8019656,0.56324285,0.07284341228503965,0.5803553134746515
4394,COVID,BICD2,1.8019141,0.57374173,0.0729532491085318,0.5807337929719489
4395,COVID,RNF26,1.8018034,1.3219079,0.07325851758459648,0.5825627453313147
4396,COVID,KLF7,1.8014566,1.0462487,0.07317584210432236,0.5821035075223233
4397,COVID,RILPL1,1.7996286,3.5332587,0.07408603434874622,0.5875064638552986
4398,COVID,AC244090.1,1.7995409,1.3456851,0.07375623397766884,0.5855249494914324
4399,COVID,PACS1,1.7991269,0.9436994,0.07361808151551977,0.5848975900723998
4400,COVID,YPEL3,1.7990658,0.39183518,0.07305560923111555,0.581349931742789
4401,COVID,MTRR,1.7985305,0.93905383,0.07359341972233137,0.5848304101578105
4402,COVID,SIPA1L2,1.7984369,1.363827,0.07383099417240103,0.5858189460955765
4403,COVID,RCE1,1.7980782,0.7342187,0.07362698497734314,0.5848975900723998
4404,COVID,CENPK,1.7973607,1.4277867,0.07395049007166545,0.5866671712361142
4405,COVID,ZNFX1,1.7967052,0.85495096,0.0738022974155681,0.5856910089960519
