,group,names,scores,logfoldchanges,pvals,pvals_adj
147,COVID,BCLAF1,3.6350782,0.78010947,0.0003287158362565604,0.046154189496577645
148,COVID,DUSP5,3.611328,0.6790442,0.00036417112194620785,0.05008027317726925
149,COVID,LDLR,3.6038814,3.036455,0.00034239077804358787,0.04767363595784407
150,COVID,THBD,3.5929854,1.1163536,0.000372774760996008,0.0506382690577382
151,COVID,ALG10B,3.57436,25.688622,0.0003944172410072667,0.05317952996143442
152,COVID,CDA,3.5702102,25.6543,0.00040051878181611054,0.05353654452779587
153,COVID,SPATA20,3.5503025,25.851763,0.0004310416205037506,0.05693327206471871
154,COVID,SGSH,3.5491679,25.66848,0.00043284551963074247,0.056946451690946934
155,COVID,ZFP36L2,3.544057,0.6148248,0.000470980174311453,0.0603017030075319
156,COVID,NRROS,3.537965,1.8462085,0.00044339706978940624,0.0578789057857523
157,COVID,ADM,3.5336735,25.733433,0.00045819469566762364,0.05951034164560134
158,COVID,HPSE,3.5329232,25.60872,0.0004594568077495031,0.05951034164560134
159,COVID,MCEMP1,3.5166566,3.0955062,0.00047383119808192854,0.06043517994772445
160,COVID,ABCG1,3.5103652,3.0638382,0.0004848274939691156,0.06160258694283626
161,COVID,ID2,3.5102973,1.07325,0.0005055611400768021,0.06303856946994961
162,COVID,PMM2,3.5030656,2.238351,0.0004989717008747252,0.0626847267974838
163,COVID,SLC20A1,3.4958081,0.8406947,0.0005435918427194051,0.06678385517703808
164,COVID,ATP2B1,3.491068,1.2109901,0.0005401101063017284,0.0666009572778039
165,COVID,OAS2,3.4840631,1.0956526,0.000558411388368416,0.06724354848462423
166,COVID,TREML1,3.4786446,25.925655,0.0005599078451394161,0.06724354848462423
167,COVID,CD52,3.4767814,0.8130404,0.0005830148959712018,0.06884314056067015
168,COVID,MIR22HG,3.4750395,1.6997994,0.000561419338277229,0.06724354848462423
169,COVID,C8orf82,3.4731514,1.9750563,0.0005593473408655389,0.06724354848462423
170,COVID,CCL2,3.4654605,25.9776,0.0005872321254165871,0.06908450379489077
171,COVID,ZC3HC1,3.4627972,3.114445,0.0005772924299877947,0.0685277910918241
172,COVID,LPCAT3,3.4619033,1.5432395,0.0005921237450384546,0.06918531184597916
173,COVID,SAMD9L,3.450756,1.037678,0.0006258321373076881,0.07211528459452074
174,COVID,NEXN,3.4467711,2.2221293,0.0006122522092010681,0.07128791663718499
175,COVID,RPS28,3.4448903,0.21413453,0.0006681785893797254,0.07543420243683203
176,COVID,SMG1P3,3.4445748,2.5324988,0.0006163157597221598,0.07151188799526186
177,COVID,HERC6,3.4386456,25.54068,0.0006466937415142313,0.07378803796541682
178,COVID,CTSL,3.4300752,25.621458,0.000666854062658897,0.07543420243683203
179,COVID,RUNX3,3.4069324,0.97347194,0.0007363930504613557,0.08121467513949546
180,COVID,CXCR2P1,3.4036665,1.6173393,0.0007240952258205906,0.08038900385796238
181,COVID,ZCCHC2,3.3925724,1.3501159,0.0007647172661037219,0.08316553432124889
182,COVID,KDM5B,3.3912246,1.6180483,0.0007553973482179679,0.08276430552590108
183,COVID,LGALS3,3.3881187,1.6789373,0.0007665255579778153,0.08316553432124889
184,COVID,TMEM229B,3.3833013,25.681044,0.0007876108119169972,0.08490190484461387
185,COVID,FABP5,3.381198,2.3595204,0.0007796284471711802,0.0843134104178619
186,COVID,RNASET2,3.3796432,0.5115269,0.000842322349281394,0.09015092353383061
187,COVID,RPL37,3.3732326,0.1550916,0.0008443977336711548,0.09015092353383061
188,COVID,LGALS3BP,3.3637633,3.065634,0.0008237568097272203,0.08851280164197596
189,COVID,SH3TC1,3.3480697,0.95199746,0.000904892941131304,0.09479249972973287
190,COVID,PROCA1,3.3478756,3.1621232,0.0008726699063790078,0.09240516671227343
191,COVID,STK17B,3.3419487,0.5882161,0.0009492608005925874,0.09882071082056851
192,COVID,KBTBD8,3.3289201,25.47465,0.0009535131327598696,0.0989551191224738
193,COVID,ALAS2,3.3244681,25.747478,0.0009684426071731551,0.10019333313902577
194,COVID,NUP35,3.3227713,25.471727,0.000974189789407492,0.10035622410642318
195,COVID,HIVEP3,3.3211706,1.1177486,0.000990371330085051,0.10120868115428791
196,COVID,COBL,3.318252,1.3093016,0.0009891000639551284,0.10120868115428791
197,COVID,LINC01138,3.2944436,2.407518,0.0010514264187260155,0.10582986938122668
198,COVID,PCGF1,3.2935698,1.7669088,0.0010640738745394706,0.10665615757853367
199,COVID,AC099568.2,3.291964,1.8793968,0.0010694859741427146,0.10665615757853367
200,COVID,AC026979.3,3.2844393,25.54394,0.0011127834005639416,0.1089191672519633
201,COVID,ABAT,3.2839377,25.567444,0.0011147127270602223,0.1089191672519633
202,COVID,TUFM,3.277579,0.76807666,0.0011714221917639865,0.1131512384710429
203,COVID,SIPA1L2,3.2708962,1.9131774,0.0011474646044420697,0.11146751362395536
204,COVID,CD83,3.256389,1.3190043,0.001226096836640714,0.1173996504012113
205,COVID,MVK,3.255197,25.505907,0.001230584537046093,0.11747836841622784
206,COVID,NAPSB,3.2536843,0.5180507,0.0012977214073339254,0.12113395605831782
207,COVID,EREG,3.2535703,25.583055,0.001237465531990071,0.11747836841622784
208,COVID,TIPARP,3.2451446,1.9096802,0.001253449872955099,0.11765880450713635
209,COVID,ZNF784,3.230276,25.61949,0.0013399937284183305,0.12438491784043154
210,COVID,RAPGEF6,3.2285545,25.425528,0.0013478754592884975,0.12442528790896057
211,COVID,TCIRG1,3.2274666,0.8187281,0.0013833013329316289,0.12629994711086406
212,COVID,FCN1,3.2229128,1.1678052,0.0013890607399946167,0.12648022547247986
213,COVID,MAFB,3.222385,1.7762607,0.0013579687970962926,0.12501168951120334
214,COVID,MT-RNR2,3.2220128,0.094896406,0.0014223993063366448,0.1288138688884869
215,COVID,THEMIS2,3.2152972,0.62356395,0.0014518740629724904,0.13042278376976266
216,COVID,PTP4A1,3.2097106,0.86153257,0.0014682049341082912,0.1312563163750378
217,COVID,TMEM2,3.206969,1.8965505,0.001427487983932422,0.1289253134028912
218,COVID,WHAMMP3,3.1957395,3.0072513,0.001476897807010759,0.13142105935664605
219,COVID,STAT4,3.1909993,1.6391191,0.0015129736588789192,0.13336673864253148
220,COVID,IL1RN,3.1906533,2.8550403,0.0015017957421970271,0.1331180591962813
221,COVID,MIER1,3.1878903,1.0438045,0.001558473623219451,0.13527146251201141
222,COVID,HNRNPC,3.184253,0.53580207,0.0016268938972605308,0.13939977785834656
223,COVID,ATP13A1,3.1773417,1.0389187,0.0016191623060151429,0.13909395059153737
224,COVID,CASP3,3.1742492,1.8807917,0.001594222618852349,0.13765926939066914
225,COVID,PSTK,3.1624348,25.403475,0.0016851165624804168,0.14220085901113153
226,COVID,CCDC167,3.1557639,25.505375,0.0017231525952400306,0.14504430799782395
